Phoneme	Rank	Ni	Nt	C	R	AverageFirstObservationPercent	FirstObservationSD
e̞	73	0	0	0.000	191	100.0000	0.0
l̪	74	2	1	0.500	157	17.1930	0.0
dz	75	18	9	0.500	119	22.0000	19.8720
ɛ̃	76	11	7	0.636	92	7.1121	8.0268
s̪	77	2	2	1.000	116	10.5072	0.0
ɔ̃	78	10	5	0.500	95	10.2667	8.8071
q	79	18	13	0.722	76	18.3019	21.2425
kʼ	80	1	1	1.000	145	0.4144	0.0
ʈ	81	13	11	0.846	75	17.8333	23.7120
gʷ	82	14	7	0.500	121	38.5281	32.9640
ɖ	83	11	7	0.636	82	20.5000	22.0308
t̪ʰ	84	3	2	0.667	146	12.6947	0.0
tʃʰ	85	11	6	0.545	124	32.5517	20.0177
tʃʼ	86	1	0	0.000	192	100.0000	0.0
tʼ	87	2	1	0.500	167	65.7727	0.0
ɸ	89	4	3	0.750	112	13.8958	46.9069
æ	90	19	17	0.895	38	5.8462	20.4222
pʼ	91	2	0	0.000	193	100.0000	0.0
ɯ	92	14	12	0.857	49	11.5340	14.2955
ɨ̃	93	1	0	0.000	194	100.0000	0.0
ndʒ	94	2	1	0.500	158	1.6529	0.0
χ	95	17	13	0.765	61	5.7426	25.4544
ɑ	96	26	26	1.000	26	5.0140	12.1200
ʂ	97	11	5	0.455	108	20.9472	23.9085
ɽ	99	8	7	0.875	71	12.1704	11.9283
ɳ	100	10	9	0.900	91	5.0325	19.8560
cç	101	1	0	0.000	195	100.0000	0.0
ɬ	102	15	10	0.667	59	12.9334	39.3257
ŋʷ	103	5	2	0.400	139	13.0277	0.0
ç	104	9	5	0.556	131	12.1439	30.1730
ɟʝ	105	2	1	0.500	142	7.5630	0.0
ʌ	106	12	12	1.000	39	3.1051	17.6199
ʎ	107	23	14	0.609	72	29.3828	31.6929
əː	108	1	1	1.000	168	20.6186	0.0
ɭ	109	6	6	1.000	83	2.6299	16.8396
ð	110	15	15	1.000	44	7.0588	29.4835
tsʼ	111	2	1	0.500	176	58.3653	0.0
tsʰ	112	12	11	0.917	85	20.9472	18.8269
ɴgb	113	1	1	1.000	177	76.2983	0.0
ŋm	114	0	0	0.000	196	100.0000	0.0
ɪ̃	115	5	2	0.400	150	14.0451	0.0
θ	116	16	14	0.875	80	11.5489	26.9487
y	117	33	26	0.788	63	17.5501	16.8862
ʊ̃	118	5	1	0.200	178	96.8750	0.0
kʲ	119	5	3	0.600	109	6.2619	47.6568
z̪	120	1	0	0.000	197	100.0000	0.0
ɦ	121	16	13	0.812	77	11.4851	16.2830
mː	122	21	13	0.619	88	12.2592	17.8271
ʊː	123	2	1	0.500	169	34.9353	0.0
ũː	124	2	2	1.000	155	26.4104	0.0
ʈʰ	125	6	0	0.000	198	100.0000	0.0
nː	127	22	14	0.636	93	20.7200	33.1028
ɪː	128	5	5	1.000	133	23.4750	12.7367
ə̃	129	4	2	0.500	125	31.4478	0.0
t̪s̪	130	1	1	1.000	179	40.5868	0.0
ɨː	131	2	2	1.000	130	6.5255	0.0
