ID	ISO	Language	Family	Latitude	Longitude	Classification
amar1273	aaz	Amarasi	Austronesian	-10.21751	123.96373	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Timoric A, Western Timoric A, Uab Metoic
stan1293	eng	American English - Southern Michigan	Indo-European	53.0	-1.0	Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Anglo-Frisian, Anglian, Mercian, Macro-English
amha1245	amh	Amharic	Afro-Asiatic	11.708182	39.543456	Afro-Asiatic, Semitic, West Semitic, Ethiosemitic, South Ethiopic, Transversal South Ethiopic, Amharic-Argobba
stan1318	arb	Arabic	Afro-Asiatic	27.9625	43.8525	Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic
assa1263	asm	Assamese	Indo-European	26.0876	91.2932	Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Eastern zone, Oriya-Gauda-Kamrupa, Gauda-Kamrupa, Kamrupa, Eastern Kamta
stan1293	eng	Australian English	Indo-European	53.0	-1.0	Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Anglo-Frisian, Anglian, Mercian, Macro-English
nort2697	azj	Azerbaijani	Turkic	40.9777	46.4737	Turkic, Common Turkic, Oghuz, Nuclear Oghuz, West Oghuz, Central Oghuz, Modern Azeric
bard1255	bcj	Bardi	Nyulnyulan	-16.6274	122.906	Nyulnyulan, Western Nyulnyulan, Bardic
basa1284	bas	Basaa	Atlantic-Congo	3.80765	10.4213	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa (A.40), Basaa-Bakoko, Basaa-Hijuk
basq1248	eus	Basque (Western Low Navarrese dialect)	Basque	43.2787	-1.31622	Basque
limb1263	lim	Belgian Limburg dialect of Hamont	Indo-European	51.015	5.87705	Indo-European, Germanic, Northwest Germanic, West Germanic, Franconian, High Franconian, Middle Franconian, Ripuarian
dutc1256	nld	Belgian Standard Dutch	Indo-European	52.0	5.0	Indo-European, Germanic, Northwest Germanic, West Germanic, Franconian, Low Franconian, Macro-Dutch, Middle-Modern Dutch, Modern Dutch
bemb1257	bem	Bemba	Atlantic-Congo	-10.6122	29.2993	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Sabi, Malungu-Central Sabi, Central Sabi, Bemba (M.40)
beng1280	ben	Bengali (Bangladeshi Standard)	Indo-European	24.0	90.0	Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Eastern zone, Oriya-Gauda-Kamrupa, Gauda-Kamrupa, Gauda-Banga
occi1239	oci	Béarnais (Gascon)	Indo-European	44.1415	6.82979	Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Southwestern Shifted Romance, Occitanic
port1283	por	Brazilian Portuguese	Indo-European	39.91	-8.1	Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Southwestern Shifted Romance, West Ibero-Romance, Galician Romance, Macro-Portuguese, Brazil-Portugal Portuguese
bret1244	bre	Breton (Treger dialect)	Indo-European	48.2452	-3.78934	Indo-European, Celtic, Nuclear Celtic, TGB Celtic, Insular Celtic, Brythonic, Southwestern Brythonic
bret1244	bre	Breton of the Isle of Groix	Indo-European	48.2452	-3.78934	Indo-European, Celtic, Nuclear Celtic, TGB Celtic, Insular Celtic, Brythonic, Southwestern Brythonic
stan1293	eng	British English recieved pronunciation	Indo-European	53.0	-1.0	Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Anglo-Frisian, Anglian, Mercian, Macro-English
brun1242	kxd	Brunei Malay	Austronesian	4.456045	114.429505	Austronesian, Malayo-Polynesian, Malayo-Sumbawan, North and East Malayo-Sumbawan, Malayic, Nuclear Malayic, Borneo Malay, Southeast Borneo Malay, East Borneo Malay, Banjar-Berau-Brunei Malay, Berau-Brunei Malay
taji1245	tgk	Bukharan Tajik	Indo-European	38.8213	68.5549	Indo-European, Indo-Iranian, Iranian, Southwestern Iranian, Middle-Modern Persian, Modern Southwestern Iranian, Farsic-Caucasian Tat, Farsic, Eastern Farsic, Tajikic
bulg1262	bul	Bulgarian	Indo-European	43.3646	25.047	Indo-European, Balto-Slavic, Slavic, South Slavic, Eastern South Slavic, Macedo-Bulgarian
