Language	Alpha	Sigma	Xmin	vsExp.R	vsExp.P	vsLN.R	vsLN.P	vsTPL.R	vsTPL.P
Mah Meri	2.858	0.515	21	1.672	0.095	-0.977	0.328	0.001	0.999
Friulian	3.406	0.851	33	0.335	0.738	-0.168	0.867	-0.272	0.751
European Portuguese	3.021	0.583	15	0.965	0.335	-0.077	0.938	-0.202	0.860
Cicipu	2.708	0.441	19	2.458	0.014	-1.030	0.303	-0.033	0.986
Istanbul Judeo-Spanish	2.183	0.296	13	-0.532	0.595	-0.817	0.414	-1.121	0.117
Luxembourgish	2.105	0.213	7	1.180	0.238	-0.537	0.591	-0.781	0.331
Chinese (Hong Kong Cantonese)	2.821	0.470	15	1.472	0.141	-0.977	0.329	-0.033	0.985
Mambay	3.647	0.734	37	2.363	0.018	-0.957	0.339	0.000	1.000
Assamese	2.172	0.276	12	-0.677	0.498	-1.034	0.301	-1.360	0.083
Mapudungun	2.830	0.507	17	0.765	0.444	-0.145	0.885	-0.334	0.693
Burmese	2.768	0.472	10	0.590	0.555	-0.298	0.766	-0.455	0.595
Sindhi	2.766	0.456	14	1.366	0.172	-0.041	0.968	-0.243	0.833
Ega	2.800	0.450	11	1.555	0.120	-1.032	0.302	-0.000	1.000
Belgian Standard Dutch	2.913	0.530	15	1.237	0.216	-1.041	0.298	-0.128	0.914
Shilluk	3.078	0.627	19	0.859	0.390	-0.095	0.924	-0.225	0.831
Amharic	2.685	0.508	23	0.929	0.353	-0.218	0.827	-0.382	0.702
Lusoga Lutenga	4.171	1.121	32	1.511	0.131	-0.956	0.339	0.000	1.000
Tilquiapan Zapotec	2.529	0.409	29	0.581	0.561	-0.318	0.751	-0.483	0.545
Temne	2.019	0.212	7	0.588	0.557	-0.743	0.457	-1.002	0.177
Dari Afghan Persian Formal	2.466	0.306	11	1.268	0.205	-0.154	0.878	-0.422	0.628
Basque (Western Low Navarrese dialect)	2.003	0.243	9	-0.646	0.518	-1.021	0.307	-1.451	0.068
Czech spoken in Moravia	2.553	0.377	12	0.803	0.422	-0.333	0.739	-0.515	0.552
Breton (Treger dialect)	2.280	0.320	11	0.415	0.678	-0.511	0.609	-0.706	0.347
Bemba	2.314	0.310	10	0.783	0.434	-0.407	0.684	-0.648	0.418
Pitjantjatjara	2.053	0.248	9	0.471	0.637	-0.685	0.494	-0.935	0.223
Bengali (Bangladeshi Standard)	2.239	0.284	9	0.354	0.723	-0.614	0.539	-0.795	0.270
Nuuchahnulth	2.810	0.427	8	0.664	0.507	-0.417	0.677	-0.598	0.505
Ibibio	2.251	0.313	12	-0.157	0.875	-0.809	0.419	-0.953	0.196
Hungarian	2.475	0.348	11	0.855	0.393	-0.313	0.755	-0.515	0.538
Northwest Sahaptin	2.833	0.529	19	-0.231	0.817	-0.516	0.606	-0.643	0.369
Goemai	2.851	0.617	17	1.598	0.110	-1.060	0.289	-0.020	0.992
Ersu	1.883	0.167	6	0.971	0.331	-0.891	0.373	-1.190	0.126
Nivacle	2.649	0.400	17	0.784	0.433	-0.329	0.742	-0.537	0.538
Southeastern Pashayi	2.229	0.275	8	0.129	0.898	-0.724	0.469	-0.874	0.201
Tena Quichua	2.241	0.332	14	0.657	0.511	-0.555	0.579	-0.732	0.399
Greek Thrace Xoraxane Romane	2.072	0.253	10	0.213	0.832	-0.746	0.455	-0.953	0.188
Dutch dialect of Hasselt	2.164	0.238	7	1.127	0.260	-0.368	0.713	-0.660	0.395
Thai	2.530	0.395	17	1.499	0.134	-0.057	0.955	-0.319	0.756
Murcian Spanish	1.712	0.137	4	-0.816	0.414	-1.847	0.065	-2.538	0.005
Khowar	1.993	0.199	6	0.121	0.903	-0.963	0.336	-1.226	0.084
Kunama	2.076	0.229	9	0.186	0.852	-0.848	0.397	-1.104	0.136
Nara	2.816	0.741	26	0.460	0.646	-0.176	0.861	-0.300	0.738
